EX 5.12 OUTPUT
run:
Welcome! Here are some products of odd integers!
*****************************************
(#1)  x  (#2)	(PRODUCT)
  1   x    1   =     1
  1   x    3   =     3
  1   x    5   =     5
  1   x    7   =     7
  1   x    9   =     9
  1   x   11   =    11
  1   x   13   =    13
  1   x   15   =    15
  3   x    1   =     3
  3   x    3   =     9
  3   x    5   =    15
  3   x    7   =    21
  3   x    9   =    27
  3   x   11   =    33
  3   x   13   =    39
  3   x   15   =    45
  5   x    1   =     5
  5   x    3   =    15
  5   x    5   =    25
  5   x    7   =    35
  5   x    9   =    45
  5   x   11   =    55
  5   x   13   =    65
  5   x   15   =    75
  7   x    1   =     7
  7   x    3   =    21
  7   x    5   =    35
  7   x    7   =    49
  7   x    9   =    63
  7   x   11   =    77
  7   x   13   =    91
  7   x   15   =   105
  9   x    1   =     9
  9   x    3   =    27
  9   x    5   =    45
  9   x    7   =    63
  9   x    9   =    81
  9   x   11   =    99
  9   x   13   =   117
  9   x   15   =   135
 11   x    1   =    11
 11   x    3   =    33
 11   x    5   =    55
 11   x    7   =    77
 11   x    9   =    99
 11   x   11   =   121
 11   x   13   =   143
 11   x   15   =   165
 13   x    1   =    13
 13   x    3   =    39
 13   x    5   =    65
 13   x    7   =    91
 13   x    9   =   117
 13   x   11   =   143
 13   x   13   =   169
 13   x   15   =   195
 15   x    1   =    15
 15   x    3   =    45
 15   x    5   =    75
 15   x    7   =   105
 15   x    9   =   135
 15   x   11   =   165
 15   x   13   =   195
 15   x   15   =   225
BUILD SUCCESSFUL (total time: 0 seconds)
